rank,enumeration_date,years_open,type,practice_name,specialty,address,city,state,zip,phone,check_meta_ads,check_google_ads,npi
11,2025-12-03,0.5,Org,ASCEND MIND AND BODY OF WESLEY CHAPEL LLC,Primary Care,3971 MORAN RD STE 101,TAMPA,FL,33618,813-670-3005,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ASCEND%20MIND%20AND%20BODY%20OF%20WESLEY%20CHAPEL%20LLC,https://adstransparency.google.com/?region=US&query=ASCEND%20MIND%20AND%20BODY%20OF%20WESLEY%20CHAPEL%20LLC,1295698751
12,2025-11-01,0.6,Org,"SUPERIOR GENETIX HEALTH & WELLNESS, INC.",Endocrinology,3030 N ROCKY POINT DR W,TAMPA,FL,33607,727-275-0611,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=SUPERIOR%20GENETIX%20HEALTH%20%26%20WELLNESS%2C%20INC.,https://adstransparency.google.com/?region=US&query=SUPERIOR%20GENETIX%20HEALTH%20%26%20WELLNESS%2C%20INC.,1578432266
13,2025-10-24,0.6,Org,"DOC SEA PSYCHIATRY, LLC",Psychiatry,10150 MANOR HIGHLAND DRIVE,TAMPA,FL,33610,404-644-3865,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=DOC%20SEA%20PSYCHIATRY%2C%20LLC,https://adstransparency.google.com/?region=US&query=DOC%20SEA%20PSYCHIATRY%2C%20LLC,1598633356
14,2025-10-15,0.6,Org,FLORIDA UNITED PSYCH PLLC,Psychiatry,4700 N HABANA AVE STE 601,TAMPA,FL,33614,201-706-1143,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=FLORIDA%20UNITED%20PSYCH%20PLLC,https://adstransparency.google.com/?region=US&query=FLORIDA%20UNITED%20PSYCH%20PLLC,1205702339
15,2025-10-07,0.6,Org,"DOC SEA PSYCHIATRY, LLC",Psychiatry,10150 HIGHLAND MANOR DR STE 200,TAMPA,FL,33610,404-644-3865,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=DOC%20SEA%20PSYCHIATRY%2C%20LLC,https://adstransparency.google.com/?region=US&query=DOC%20SEA%20PSYCHIATRY%2C%20LLC,1467327841
16,2025-07-30,0.8,Org,AVIATOR MEDICAL GROUP PA,Primary Care,8270 WOODLAND CENTER BLVD,TAMPA,FL,33614,612-715-7891,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=AVIATOR%20MEDICAL%20GROUP%20PA,https://adstransparency.google.com/?region=US&query=AVIATOR%20MEDICAL%20GROUP%20PA,1073496584
17,2025-07-30,0.8,Org,"EVE PSYCHIATRY, LLC",Psychiatry,4100 W KENNEDY BLVD STE 303,TAMPA,FL,33609,813-419-2067,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=EVE%20PSYCHIATRY%2C%20LLC,https://adstransparency.google.com/?region=US&query=EVE%20PSYCHIATRY%2C%20LLC,1184507675
18,2025-06-10,1.0,Org,BRIDGECONNECT PSYCHIATRY PLLC,Psychiatry,400 N TAMPA ST STE 1550,TAMPA,FL,33602,407-620-8775,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=BRIDGECONNECT%20PSYCHIATRY%20PLLC,https://adstransparency.google.com/?region=US&query=BRIDGECONNECT%20PSYCHIATRY%20PLLC,1851286009
19,2025-06-05,1.0,Org,"ACCESS MEDICAL GROUP OF HILLSBOROUGH PEDS, LLC",Primary Care,3611 W HILLSBOROUGH AVE STE 206,TAMPA,FL,33614,813-725-3033,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ACCESS%20MEDICAL%20GROUP%20OF%20HILLSBOROUGH%20PEDS%2C%20LLC,https://adstransparency.google.com/?region=US&query=ACCESS%20MEDICAL%20GROUP%20OF%20HILLSBOROUGH%20PEDS%2C%20LLC,1437043379
20,2025-05-17,1.0,Org,DEVOTEDDOC FL PA,Obesity Medicine,7320 E FLETCHER AVE,TAMPA,FL,33637,813-791-7550,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=DEVOTEDDOC%20FL%20PA,https://adstransparency.google.com/?region=US&query=DEVOTEDDOC%20FL%20PA,1184416117
21,2025-04-22,1.1,Org,BV HEALTH AND WELLNESS LLC,Endocrinology,3329 LONG BRANCH DR,NEW CASTLE,PA,16105,724-944-2070,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=BV%20HEALTH%20AND%20WELLNESS%20LLC,https://adstransparency.google.com/?region=US&query=BV%20HEALTH%20AND%20WELLNESS%20LLC,1720875917
22,2025-04-01,1.1,Org,ACE BEHAVIORAL HEALTH LLC,Psychiatry,5406 HOOVER BLVD STE 18,TAMPA,FL,33634,866-770-4104,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ACE%20BEHAVIORAL%20HEALTH%20LLC,https://adstransparency.google.com/?region=US&query=ACE%20BEHAVIORAL%20HEALTH%20LLC,1841094885
23,2025-03-28,1.2,Org,CARDIOLOGY ASSOCIATES POM INC.,Cardiology,2201 W SWANN AVE STE 280,TAMPA,FL,33606,813-316-6500,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CARDIOLOGY%20ASSOCIATES%20POM%20INC.,https://adstransparency.google.com/?region=US&query=CARDIOLOGY%20ASSOCIATES%20POM%20INC.,1750184693
24,2025-03-22,1.2,Org,DEVOTEDDOC LLC,Obesity Medicine,7320 E FLETCHER AVE,TAMPA,FL,33637,813-791-7550,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=DEVOTEDDOC%20LLC,https://adstransparency.google.com/?region=US&query=DEVOTEDDOC%20LLC,1174324495
25,2025-03-21,1.2,Org,CLAREMEDICA SPECIALTY NETWORK OF FLORIDA LLC,Endocrinology,9193 SUNSET DR,MIAMI,FL,33173,305-595-5558,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CLAREMEDICA%20SPECIALTY%20NETWORK%20OF%20FLORIDA%20LLC,https://adstransparency.google.com/?region=US&query=CLAREMEDICA%20SPECIALTY%20NETWORK%20OF%20FLORIDA%20LLC,1538960968
26,2025-02-21,1.3,Individual,VANESA CORDERO,OB-GYN,5 TAMPA GENERAL CIR,TAMPA,FL,33606,813-258-3309,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=VANESA%20CORDERO,https://adstransparency.google.com/?region=US&query=VANESA%20CORDERO,1801692785
27,2025-01-16,1.4,Individual,CHRISTINA CARTER,OB-GYN,2 TAMPA GENERAL CIR,TAMPA,FL,33606,813-821-8038,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CHRISTINA%20CARTER,https://adstransparency.google.com/?region=US&query=CHRISTINA%20CARTER,1255142592
28,2025-01-15,1.4,Individual,FATEMEH POUSSON,OB-GYN,2 TAMPA GENERAL CIR,TAMPA,FL,33606,813-821-8038,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=FATEMEH%20POUSSON,https://adstransparency.google.com/?region=US&query=FATEMEH%20POUSSON,1316758824
29,2025-01-10,1.4,Individual,AMY RIVERS,OB-GYN,2 TAMPA GENERAL CIR,TAMPA,FL,33606,813-821-8019,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=AMY%20RIVERS,https://adstransparency.google.com/?region=US&query=AMY%20RIVERS,1366252447
30,2024-12-13,1.4,Org,"AGE REJUVENATION MEDICAL, P.A.",Primary Care,125 N ORLANDO AVE STE 115,WINTER PARK,FL,32789,407-565-5929,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=AGE%20REJUVENATION%20MEDICAL%2C%20P.A.,https://adstransparency.google.com/?region=US&query=AGE%20REJUVENATION%20MEDICAL%2C%20P.A.,1801603717
31,2024-11-21,1.5,Org,CLAREMEDICA VIKING LLC,Primary Care,27455 S DIXIE HWY UNIT 1,HOMESTEAD,FL,33032,305-245-3247,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CLAREMEDICA%20VIKING%20LLC,https://adstransparency.google.com/?region=US&query=CLAREMEDICA%20VIKING%20LLC,1992520118
32,2024-07-20,1.8,Individual,KATRINA VOUTSINAS,OB-GYN,12085 W HILLSBOROUGH AVE,TAMPA,FL,33635,813-397-5300,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=KATRINA%20VOUTSINAS,https://adstransparency.google.com/?region=US&query=KATRINA%20VOUTSINAS,1477391670
33,2024-07-15,1.9,Org,CLEARWATER AESTHETICS AND PLASTIC SURGERY,Primary Care,818 CHESTNUT ST,CLEARWATER,FL,33756,727-477-3636,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CLEARWATER%20AESTHETICS%20AND%20PLASTIC%20SURGERY,https://adstransparency.google.com/?region=US&query=CLEARWATER%20AESTHETICS%20AND%20PLASTIC%20SURGERY,1922845023
34,2024-07-11,1.9,Org,CENATUS HEALTH CARE LLC,Primary Care,4182 NORTH ARMENIA AVE,TAMPA,FL,33607,813-855-0777,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CENATUS%20HEALTH%20CARE%20LLC,https://adstransparency.google.com/?region=US&query=CENATUS%20HEALTH%20CARE%20LLC,1619714268
35,2024-06-12,1.9,Org,SUNSHINE MEDICAL MANAGEMENT ADVISORS,Gastroenterology,14665 CANOPY DR,TAMPA,FL,33626,813-843-5680,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=SUNSHINE%20MEDICAL%20MANAGEMENT%20ADVISORS,https://adstransparency.google.com/?region=US&query=SUNSHINE%20MEDICAL%20MANAGEMENT%20ADVISORS,1801638556
36,2024-05-30,2.0,Org,ADVANCED SPINE AND SPECIALISTS LLC,Primary Care,1046 W BUSCH BLVD STE 100B,TAMPA,FL,33612,813-524-7246,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ADVANCED%20SPINE%20AND%20SPECIALISTS%20LLC,https://adstransparency.google.com/?region=US&query=ADVANCED%20SPINE%20AND%20SPECIALISTS%20LLC,1881434421
37,2024-05-24,2.0,Org,GANESH CHARI MD LLC,Psychiatry,11375 CORTEZ BLVD,BROOKSVILLE,FL,34613,856-291-6138,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=GANESH%20CHARI%20MD%20LLC,https://adstransparency.google.com/?region=US&query=GANESH%20CHARI%20MD%20LLC,1184463523
38,2024-04-23,2.1,Org,CIRCLE MEDICAL CARE GROUP PA,Primary Care,400 N TAMPA ST FL 15,TAMPA,FL,33602,888-803-3370,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CIRCLE%20MEDICAL%20CARE%20GROUP%20PA,https://adstransparency.google.com/?region=US&query=CIRCLE%20MEDICAL%20CARE%20GROUP%20PA,1972358760
39,2024-03-25,2.2,Individual,JENNY CORREDOR,Primary Care,1 N DALE MABRY HWY STE 100A,TAMPA,FL,33609,813-767-3384,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=JENNY%20CORREDOR,https://adstransparency.google.com/?region=US&query=JENNY%20CORREDOR,1558111484
40,2024-03-13,2.2,Org,FUNCTIONAL AND INTERVENTIONAL GASTROENTEROLOGY PLLC,Gastroenterology,10004 N DALE MABRY HWY STE 101,TAMPA,FL,33618,813-364-8863,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=FUNCTIONAL%20AND%20INTERVENTIONAL%20GASTROENTEROLOGY%20PLLC,https://adstransparency.google.com/?region=US&query=FUNCTIONAL%20AND%20INTERVENTIONAL%20GASTROENTEROLOGY%20PLLC,1891554820
41,2024-02-26,2.2,Individual,MICHELLE DAVIS,Primary Care,3100 E FLETCHER AVE,TAMPA,FL,33613,813-971-6000,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=MICHELLE%20DAVIS,https://adstransparency.google.com/?region=US&query=MICHELLE%20DAVIS,1114783172
42,2024-01-24,2.3,Org,GI HEALTH SPECIALISTS OF FLORIDA LLC,Gastroenterology,3825 COUNTRYSIDE BLVD N,PALM HARBOR,FL,34684,727-784-2848,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=GI%20HEALTH%20SPECIALISTS%20OF%20FLORIDA%20LLC,https://adstransparency.google.com/?region=US&query=GI%20HEALTH%20SPECIALISTS%20OF%20FLORIDA%20LLC,1386406536
43,2024-01-19,2.3,Org,ACCIDENTINJURYDRS LLC,Primary Care,502 S MACDILL AVE,TAMPA,FL,33609,813-465-9999,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ACCIDENTINJURYDRS%20LLC,https://adstransparency.google.com/?region=US&query=ACCIDENTINJURYDRS%20LLC,1912768581
44,2024-01-16,2.4,Org,PEDIATRIX MEDICAL GROUP OF FLORIDA INC,OB-GYN,3030 W DR MLK BLVD STE 201,TAMPA,FL,33607,813-879-4730,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=PEDIATRIX%20MEDICAL%20GROUP%20OF%20FLORIDA%20INC,https://adstransparency.google.com/?region=US&query=PEDIATRIX%20MEDICAL%20GROUP%20OF%20FLORIDA%20INC,1689435869
45,2024-01-10,2.4,Individual,IDO FEFERKORN,OB-GYN,5245 E FLETCHER AVE STE 1,TAMPA,FL,33617,813-914-7304,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=IDO%20FEFERKORN,https://adstransparency.google.com/?region=US&query=IDO%20FEFERKORN,1285405258
46,2024-01-04,2.4,Individual,KEONA CANNON,OB-GYN,1 TAMPA GENERAL CIR,TAMPA,FL,33606,314-591-3118,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=KEONA%20CANNON,https://adstransparency.google.com/?region=US&query=KEONA%20CANNON,1699545277
47,2023-12-18,2.4,Org,EVOLVE BEHAVIORAL MEDICINE LLC,Psychiatry,16614 N DALE MABRY HWY,TAMPA,FL,33618,813-384-8521,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=EVOLVE%20BEHAVIORAL%20MEDICINE%20LLC,https://adstransparency.google.com/?region=US&query=EVOLVE%20BEHAVIORAL%20MEDICINE%20LLC,1982472049
48,2023-12-06,2.5,Org,"ENDOONE DIABETES & ENDOCRINOLOGY CENTER, LLC",Endocrinology,602 S AUDUBON AVE STE A,TAMPA,FL,33609,813-931-2424,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ENDOONE%20DIABETES%20%26%20ENDOCRINOLOGY%20CENTER%2C%20LLC,https://adstransparency.google.com/?region=US&query=ENDOONE%20DIABETES%20%26%20ENDOCRINOLOGY%20CENTER%2C%20LLC,1053188417
49,2023-12-01,2.5,Org,TAMPA GENERAL MEDICAL GROUP INC,OB-GYN,8425 NORTHCLIFFE BLVD STE 101,SPRING HILL,FL,34606,352-686-2360,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=TAMPA%20GENERAL%20MEDICAL%20GROUP%20INC,https://adstransparency.google.com/?region=US&query=TAMPA%20GENERAL%20MEDICAL%20GROUP%20INC,1376319160
50,2023-11-02,2.6,Org,"GABBI HEALTH MEDICAL GROUP, P.A.",OB-GYN,8270 WOODLAND CENTER BLVD,TAMPA,FL,33614,503-482-8374,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=GABBI%20HEALTH%20MEDICAL%20GROUP%2C%20P.A.,https://adstransparency.google.com/?region=US&query=GABBI%20HEALTH%20MEDICAL%20GROUP%2C%20P.A.,1952174757
51,2023-09-08,2.7,Org,ANSIBLE HEALTH MEDICAL GROUP PA,Primary Care,7402 N 56TH ST STE 355,TAMPA,FL,33617,877-267-4253,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ANSIBLE%20HEALTH%20MEDICAL%20GROUP%20PA,https://adstransparency.google.com/?region=US&query=ANSIBLE%20HEALTH%20MEDICAL%20GROUP%20PA,1093592644
52,2023-09-07,2.7,Org,BLUESTONE VBC FL LLC,Primary Care,10150 HIGHLAND MANOR DR STE 205,TAMPA,FL,33610,813-259-1013,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=BLUESTONE%20VBC%20FL%20LLC,https://adstransparency.google.com/?region=US&query=BLUESTONE%20VBC%20FL%20LLC,1346026184
53,2023-08-17,2.8,Org,DIABETES VIRTUAL CLINIC LLC,Endocrinology,4903 W BAY WAY DR,TAMPA,FL,33629,727-345-5222,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=DIABETES%20VIRTUAL%20CLINIC%20LLC,https://adstransparency.google.com/?region=US&query=DIABETES%20VIRTUAL%20CLINIC%20LLC,1952184368
54,2023-08-11,2.8,Individual,MILAGROS CALVO MARCELO,Primary Care,6800 N DALE MABRY HWY STE 150,TAMPA,FL,33614,813-252-6013,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=MILAGROS%20CALVO%20MARCELO,https://adstransparency.google.com/?region=US&query=MILAGROS%20CALVO%20MARCELO,1902589328
55,2023-08-10,2.8,Individual,EUDANIA COBAS MATOS,Primary Care,818 W LOWRY LN,TAMPA,FL,33604,502-296-9129,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=EUDANIA%20COBAS%20MATOS,https://adstransparency.google.com/?region=US&query=EUDANIA%20COBAS%20MATOS,1881377414
56,2023-08-02,2.8,Individual,MELISSA CALLIER,Primary Care,3250 ZEMKE AVE,TAMPA,FL,33621,813-827-9170,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=MELISSA%20CALLIER,https://adstransparency.google.com/?region=US&query=MELISSA%20CALLIER,1235811068
57,2023-07-18,2.9,Org,INSPIRE MEDICAL CARE PA,Cardiology,4701 MANATEE AVE W,BRADENTON,FL,34209,949-694-5700,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=INSPIRE%20MEDICAL%20CARE%20PA,https://adstransparency.google.com/?region=US&query=INSPIRE%20MEDICAL%20CARE%20PA,1154001907
58,2023-06-28,2.9,Org,"ADVENTIST HEALTH SYSTEM/SUNBELT, INC",Primary Care,17511 BRUCE B DOWNS BLVD,TAMPA,FL,33647,844-397-0018,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ADVENTIST%20HEALTH%20SYSTEM%2FSUNBELT%2C%20INC,https://adstransparency.google.com/?region=US&query=ADVENTIST%20HEALTH%20SYSTEM%2FSUNBELT%2C%20INC,1588341085
59,2023-06-28,2.9,Org,"ADVENTIST HEALTH SYSTEM/SUNBELT, INC",Primary Care,8706 W HILLSBOROUGH AVE,TAMPA,FL,33615,844-397-0018,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ADVENTIST%20HEALTH%20SYSTEM%2FSUNBELT%2C%20INC,https://adstransparency.google.com/?region=US&query=ADVENTIST%20HEALTH%20SYSTEM%2FSUNBELT%2C%20INC,1649957069
60,2023-06-28,2.9,Org,"ADVENTIST HEALTH SYSTEM/SUNBELT, INC",Primary Care,15602 N DALE MABRY HWY,TAMPA,FL,33618,844-397-0018,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ADVENTIST%20HEALTH%20SYSTEM%2FSUNBELT%2C%20INC,https://adstransparency.google.com/?region=US&query=ADVENTIST%20HEALTH%20SYSTEM%2FSUNBELT%2C%20INC,1902583412
61,2023-06-28,2.9,Individual,SUSEL ARTOLA,Primary Care,7004 SHELDON RD STE B,TAMPA,FL,33615,813-304-1777,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=SUSEL%20ARTOLA,https://adstransparency.google.com/?region=US&query=SUSEL%20ARTOLA,1225715535
62,2023-06-21,2.9,Individual,KRISTEN COX,Psychiatry,1501 CORPORATE DR STE 100,BOYNTON BEACH,FL,33426,813-358-3549,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=KRISTEN%20COX,https://adstransparency.google.com/?region=US&query=KRISTEN%20COX,1851076319
63,2023-06-14,2.9,Org,PEDIATRIX MEDICAL GROUP OF FLORIDA INC,OB-GYN,15310 AMBERLY DR STE 300,TAMPA,FL,33647,813-971-6909,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=PEDIATRIX%20MEDICAL%20GROUP%20OF%20FLORIDA%20INC,https://adstransparency.google.com/?region=US&query=PEDIATRIX%20MEDICAL%20GROUP%20OF%20FLORIDA%20INC,1700560281
64,2023-06-14,2.9,Individual,CHRYSTELLE DESROSIERS,OB-GYN,4150 N ARMENIA AVE STE 200,TAMPA,FL,33607,813-876-0914,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CHRYSTELLE%20DESROSIERS,https://adstransparency.google.com/?region=US&query=CHRYSTELLE%20DESROSIERS,1023792363
65,2023-05-02,3.1,Org,NEW YORK MEDICAL UNITED PLLC,Cardiology,9836 QUEENS BLVD STE 401,REGO PARK,NY,11374,800-991-6117,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=NEW%20YORK%20MEDICAL%20UNITED%20PLLC,https://adstransparency.google.com/?region=US&query=NEW%20YORK%20MEDICAL%20UNITED%20PLLC,1265121693
66,2023-04-20,3.1,Org,ASHWINKUMAR S MEHTA MD,Gastroenterology,3709 W HAMILTON AVE STE 5,TAMPA,FL,33614,813-932-4430,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ASHWINKUMAR%20S%20MEHTA%20MD,https://adstransparency.google.com/?region=US&query=ASHWINKUMAR%20S%20MEHTA%20MD,1871280719
67,2023-04-04,3.1,Org,ELITE GASTRO PLLC,Gastroenterology,3709 W HAMILTON AVE STE 5,TAMPA,FL,33614,813-932-4430,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ELITE%20GASTRO%20PLLC,https://adstransparency.google.com/?region=US&query=ELITE%20GASTRO%20PLLC,1093410391
68,2023-03-20,3.2,Org,"TAMPA ENDOCRINOLOGY INSTITUTE, LLC",Endocrinology,2111 W SWANN AVE STE 204,TAMPA,FL,33606,813-360-1214,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=TAMPA%20ENDOCRINOLOGY%20INSTITUTE%2C%20LLC,https://adstransparency.google.com/?region=US&query=TAMPA%20ENDOCRINOLOGY%20INSTITUTE%2C%20LLC,1326740937
